Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.0034529100003055646,5.0,100.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
1,0.035759952000262274,15.0,202.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
2,0.06346472200038988,15.0,303.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
3,0.09054767500037997,15.0,404.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
4,0.11557964000076026,114.0,506.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
5,0.14101172300070175,114.0,607.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
6,0.16653596800006198,118.0,709.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
7,0.19081542000003537,127.0,811.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
8,0.21437637400049425,127.0,912.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
9,0.23925161300030595,133.0,1014.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
10,0.26334031500027777,137.0,1116.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
11,0.2855878340005802,140.0,1218.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
12,0.3079723130003913,140.0,1319.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
13,0.33427410000058444,140.0,1420.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
14,0.35737540400077705,142.0,1522.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
15,0.37865867000073195,142.0,1623.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
16,0.39972210100040684,142.0,1724.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
17,0.4332402540003386,142.0,1825.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
18,0.467329797000275,142.0,1926.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
19,0.5014416620006159,142.0,2027.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
20,0.5225375240006542,142.0,2128.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
21,0.5557289490006951,142.0,2229.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
22,0.5894132250004986,142.0,2330.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
23,0.622985771000458,142.0,2431.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
24,0.6564957270002196,142.0,2532.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
25,0.6881486930005849,142.0,2633.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
26,0.7197509930001615,142.0,2734.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
27,0.7509557110006426,142.0,2835.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
28,0.7829456030003712,142.0,2936.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
29,0.8143307220007046,142.0,3037.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
30,0.845555959000194,142.0,3138.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
31,0.8770899190003547,142.0,3239.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
32,0.9088537240004371,142.0,3340.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
33,0.9401570780000839,142.0,3441.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
34,0.9718489070000942,142.0,3542.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
35,1.0034113020001314,142.0,3643.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
36,1.0345891190008842,142.0,3744.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
37,1.0662067170005685,142.0,3845.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
38,1.0978857810005138,142.0,3946.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
39,1.1290001490006034,142.0,4047.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
40,1.1605848750004952,142.0,4148.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
41,1.1919802840002376,142.0,4249.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
42,1.2250546670002223,142.0,4350.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
43,1.2582597180007724,142.0,4451.0,True,100,0.25,10000000,0,0,100,10000000.0,100,100,0.25
