,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.003188919999956852,1400.9252885718133,100.0,100,0.9,10000
1,1,0.018926521001048968,802.2251340273383,202.0,100,0.9,10000
2,2,0.02842900100040424,802.2251340273383,303.0,100,0.9,10000
3,3,0.03786618699996325,802.2251340273383,404.0,100,0.9,10000
4,4,0.04726852699968731,802.2251340273383,505.0,100,0.9,10000
5,5,0.05683630100065784,802.2251340273383,606.0,100,0.9,10000
6,6,0.06632115799948224,769.8478100343664,708.0,100,0.9,10000
7,7,0.0757862259997637,769.8478100343664,809.0,100,0.9,10000
8,8,0.08520592900094925,754.8375597961528,911.0,100,0.9,10000
9,9,0.0946081479996792,750.0833498035769,1013.0,100,0.9,10000
10,10,0.10397837700111268,749.1817747608111,1115.0,100,0.9,10000
11,11,0.11347227099940937,697.6207496030206,1217.0,100,0.9,10000
12,12,0.12288777600042522,697.6207496030206,1318.0,100,0.9,10000
13,13,0.13223489000120026,697.6207496030206,1419.0,100,0.9,10000
14,14,0.1418557659999351,697.6207496030206,1520.0,100,0.9,10000
15,15,0.1512250830000994,697.6207496030206,1621.0,100,0.9,10000
16,16,0.1606835790007608,697.6207496030206,1722.0,100,0.9,10000
17,17,0.16999616800057993,697.6207496030206,1823.0,100,0.9,10000
18,18,0.17938812800093729,697.6207496030206,1924.0,100,0.9,10000
19,19,0.1887793670011888,697.6207496030206,2025.0,100,0.9,10000
20,20,0.19820238600004814,697.6207496030206,2126.0,100,0.9,10000
21,21,0.2076326690003043,697.6207496030206,2227.0,100,0.9,10000
22,22,0.21711290600069333,697.6207496030206,2328.0,100,0.9,10000
23,23,0.22656942899993737,697.6207496030206,2429.0,100,0.9,10000
24,24,0.23602863700034504,684.5703936963321,2531.0,100,0.9,10000
25,25,0.24548164299994824,684.5703936963321,2632.0,100,0.9,10000
26,26,0.2548432250005135,684.5703936963321,2733.0,100,0.9,10000
27,27,0.2642062300001271,684.5703936963321,2834.0,100,0.9,10000
28,28,0.2736454700007016,684.5703936963321,2935.0,100,0.9,10000
29,29,0.2831178030010051,684.5703936963321,3036.0,100,0.9,10000
30,30,0.2924928610009374,684.5703936963321,3137.0,100,0.9,10000
31,31,0.3020150789998297,684.570393696332,3239.0,100,0.9,10000
32,32,0.3114442700007203,684.570393696332,3340.0,100,0.9,10000
33,33,0.3208676190006372,684.570393696332,3441.0,100,0.9,10000
34,34,0.33032470299986016,684.570393696332,3542.0,100,0.9,10000
35,35,0.3397406280000723,684.570393696332,3643.0,100,0.9,10000
36,36,0.34922258900041925,684.570393696332,3744.0,100,0.9,10000
37,37,0.35859021299984306,684.570393696332,3845.0,100,0.9,10000
38,38,0.36809105000065756,684.570393696332,3946.0,100,0.9,10000
39,39,0.377534919000027,684.570393696332,4047.0,100,0.9,10000
40,40,0.3869259670009342,684.570393696332,4148.0,100,0.9,10000
41,41,0.3963865980003902,684.570393696332,4249.0,100,0.9,10000
42,42,0.4058727169995109,684.570393696332,4350.0,100,0.9,10000
43,43,0.41528840200044215,684.570393696332,4451.0,100,0.9,10000
44,44,0.4247225819999585,684.570393696332,4552.0,100,0.9,10000
45,45,0.4341565819995594,684.570393696332,4653.0,100,0.9,10000
46,46,0.4436072740008967,684.570393696332,4754.0,100,0.9,10000
47,47,0.4530420250011957,684.570393696332,4855.0,100,0.9,10000
48,48,0.46243500700074947,684.570393696332,4956.0,100,0.9,10000
49,49,0.4718434080004954,684.570393696332,5057.0,100,0.9,10000
50,50,0.4812982679995912,684.570393696332,5158.0,100,0.9,10000
51,51,0.49068355500094185,684.570393696332,5259.0,100,0.9,10000
52,52,0.5001007829996524,684.570393696332,5360.0,100,0.9,10000
53,53,0.5095866920000844,684.570393696332,5461.0,100,0.9,10000
54,54,0.5190918170010264,684.570393696332,5562.0,100,0.9,10000
55,55,0.5284754910007905,684.570393696332,5663.0,100,0.9,10000
56,56,0.5379623919998267,684.570393696332,5764.0,100,0.9,10000
57,57,0.5473223110002436,684.570393696332,5865.0,100,0.9,10000
58,58,0.5568079490003583,684.570393696332,5966.0,100,0.9,10000
59,59,0.5661867840008199,684.570393696332,6067.0,100,0.9,10000
60,60,0.5755737950003095,684.570393696332,6168.0,100,0.9,10000
61,61,0.5850355780003156,684.570393696332,6269.0,100,0.9,10000
62,62,0.594443678000971,684.570393696332,6370.0,100,0.9,10000
63,63,0.6037882680011535,684.570393696332,6471.0,100,0.9,10000
64,64,0.6131562520004081,684.570393696332,6572.0,100,0.9,10000
65,65,0.6226185460000124,684.570393696332,6673.0,100,0.9,10000
66,66,0.6320717920007155,684.570393696332,6774.0,100,0.9,10000
67,67,0.6414947310004209,684.570393696332,6875.0,100,0.9,10000
68,68,0.6517654920007772,684.5703936963318,6977.0,100,0.9,10000
69,69,0.6612415319996217,684.5703936963318,7078.0,100,0.9,10000
70,70,0.670692986001086,684.5703936963318,7179.0,100,0.9,10000
71,71,0.6800505610008258,684.5703936963318,7280.0,100,0.9,10000
72,72,0.689502655999604,684.5703936963318,7381.0,100,0.9,10000
73,73,0.6989201050000702,684.5703936963318,7482.0,100,0.9,10000
74,74,0.70838433300014,684.5703936963318,7583.0,100,0.9,10000
75,75,0.7178531589997874,684.5703936963318,7684.0,100,0.9,10000
76,76,0.7273564110000734,684.5703936963318,7785.0,100,0.9,10000
77,77,0.7368422700001247,684.5703936963318,7886.0,100,0.9,10000
78,78,0.7463891250008601,684.5703936963318,7987.0,100,0.9,10000
79,79,0.7557767270009208,684.5703936963318,8088.0,100,0.9,10000
80,80,0.7651948570000968,684.5703936963318,8189.0,100,0.9,10000
81,81,0.7747068160006165,684.5703936963318,8290.0,100,0.9,10000
82,82,0.7842020930002036,684.5703936963318,8391.0,100,0.9,10000
83,83,0.7937321660010639,684.5703936963318,8492.0,100,0.9,10000
84,84,0.8031290050003008,684.5703936963318,8593.0,100,0.9,10000
85,85,0.812794767000014,684.5703936963318,8694.0,100,0.9,10000
86,86,0.825307717999749,684.5703936963318,8795.0,100,0.9,10000
87,87,0.8367697140001837,684.5703936963318,8896.0,100,0.9,10000
88,88,0.8461249640004098,684.5703936963318,8997.0,100,0.9,10000
89,89,0.8555677410004137,684.5703936963318,9098.0,100,0.9,10000
90,90,0.865073888000552,684.5703936963318,9199.0,100,0.9,10000
91,91,0.8745750670004782,684.5703936963318,9300.0,100,0.9,10000
92,92,0.8839525700004742,684.5703936963318,9401.0,100,0.9,10000
93,93,0.893357876000664,684.5703936963318,9502.0,100,0.9,10000
94,94,0.9028424420012016,684.5703936963318,9603.0,100,0.9,10000
95,95,0.9122869430011633,684.5703936963318,9704.0,100,0.9,10000
96,96,0.9217050730003393,684.5703936963318,9805.0,100,0.9,10000
97,97,0.9313018220000231,684.5703936963318,9906.0,100,0.9,10000
98,98,0.940770868999607,684.5703936963318,10007.0,100,0.9,10000
99,99,0.9502660449998075,684.5703936963318,10108.0,100,0.9,10000
100,100,0.9597466150007676,684.5703936963318,10209.0,100,0.9,10000
101,101,0.9691984490000323,684.5703936963318,10310.0,100,0.9,10000
102,102,0.9787082840011863,684.5703936963318,10411.0,100,0.9,10000
103,103,0.9883030990004045,684.5703936963318,10512.0,100,0.9,10000
104,104,0.9978937779997068,684.5703936963318,10613.0,100,0.9,10000
105,105,1.0074318160004623,684.5703936963318,10714.0,100,0.9,10000
106,106,1.0168579609999142,684.5703936963318,10815.0,100,0.9,10000
107,107,1.0263580070004537,684.5703936963318,10916.0,100,0.9,10000
108,108,1.03591969000081,684.5703936963318,11017.0,100,0.9,10000
109,109,1.0454672560008476,684.5703936963318,11118.0,100,0.9,10000
110,110,1.054904071999772,684.5703936963318,11219.0,100,0.9,10000
111,111,1.0647031560001778,684.5703936963318,11320.0,100,0.9,10000
112,112,1.074310895999588,684.5703936963318,11421.0,100,0.9,10000
113,113,1.0839114840000548,684.5703936963318,11522.0,100,0.9,10000
114,114,1.0934585289996903,684.5703936963318,11623.0,100,0.9,10000
115,115,1.1029251010004373,684.5703936963318,11724.0,100,0.9,10000
116,116,1.1124580289997539,684.5703936963318,11825.0,100,0.9,10000
117,117,1.1222605710008793,684.5703936963318,11926.0,100,0.9,10000
118,118,1.1319034780008224,684.5703936963318,12027.0,100,0.9,10000
119,119,1.1415573970007244,684.5703936963318,12128.0,100,0.9,10000
120,120,1.151528688000326,684.5703936963318,12229.0,100,0.9,10000
121,121,1.1618971240004612,684.5703936963318,12330.0,100,0.9,10000
122,122,1.1722357840008044,684.5703936963318,12431.0,100,0.9,10000
123,123,1.1825335859994084,684.5703936963318,12532.0,100,0.9,10000
124,124,1.1931058000009216,684.5703936963318,12633.0,100,0.9,10000
125,125,1.2031195319996186,684.5703936963318,12734.0,100,0.9,10000
126,126,1.2132702939998126,684.5703936963318,12835.0,100,0.9,10000
127,127,1.2234279700005573,684.5703936963318,12936.0,100,0.9,10000
128,128,1.233542703999774,684.5703936963318,13037.0,100,0.9,10000
129,129,1.2438733489998413,684.5703936963318,13138.0,100,0.9,10000
130,130,1.2543190920005145,684.5703936963318,13239.0,100,0.9,10000
131,131,1.2663100230001874,684.5703936963318,13340.0,100,0.9,10000
132,132,1.2857207550005114,684.5703936963318,13441.0,100,0.9,10000
133,133,1.3008113360010611,684.5703936963318,13542.0,100,0.9,10000
134,134,1.314075276000949,684.5703936963318,13643.0,100,0.9,10000
135,135,1.3270134160011366,684.5703936963318,13744.0,100,0.9,10000
136,136,1.3396696300005715,684.5703936963318,13845.0,100,0.9,10000
137,137,1.352515245000177,684.5703936963318,13946.0,100,0.9,10000
138,138,1.3666431170004216,684.5703936963318,14047.0,100,0.9,10000
139,139,1.3793943720011157,684.5703936963318,14148.0,100,0.9,10000
140,140,1.3916359579998243,684.5703936963318,14249.0,100,0.9,10000
141,141,1.4022267969994573,684.5703936963318,14350.0,100,0.9,10000
142,142,1.4125903849999304,684.5703936963318,14451.0,100,0.9,10000
143,143,1.4225066809995042,684.5703936963318,14552.0,100,0.9,10000
144,144,1.432369677000679,684.5703936963318,14653.0,100,0.9,10000
145,145,1.4422131459996308,684.5703936963318,14754.0,100,0.9,10000
146,146,1.4519614540004113,684.5703936963318,14855.0,100,0.9,10000
147,147,1.4616014050006925,684.5703936963318,14956.0,100,0.9,10000
148,148,1.471260804000849,684.5703936963318,15057.0,100,0.9,10000
149,149,1.481327527000758,684.5703936963318,15158.0,100,0.9,10000
150,150,1.491303938000783,684.5703936963318,15259.0,100,0.9,10000
151,151,1.5013493710011971,684.5703936963318,15360.0,100,0.9,10000
152,152,1.511154076000821,684.5703936963318,15461.0,100,0.9,10000
153,153,1.5210273709999456,684.5703936963318,15562.0,100,0.9,10000
154,154,1.5307381370002986,684.5703936963318,15663.0,100,0.9,10000
155,155,1.5403583420011273,684.5703936963318,15764.0,100,0.9,10000
156,156,1.550017048999507,684.5703936963318,15865.0,100,0.9,10000
157,157,1.5595574920007493,684.5703936963318,15966.0,100,0.9,10000
158,158,1.5693198459994164,684.5703936963318,16067.0,100,0.9,10000
159,159,1.5789687350006716,684.5703936963318,16168.0,100,0.9,10000
160,160,1.5884934879995853,684.5703936963318,16269.0,100,0.9,10000
161,161,1.5982802689995879,684.5703936963318,16370.0,100,0.9,10000
162,162,1.607898379001199,684.5703936963318,16471.0,100,0.9,10000
163,163,1.6176274600002216,684.5703936963318,16572.0,100,0.9,10000
164,164,1.6272998730000836,684.5703936963318,16673.0,100,0.9,10000
165,165,1.6368259089995263,684.5703936963318,16774.0,100,0.9,10000
166,166,1.6464215960004367,684.5703936963318,16875.0,100,0.9,10000
167,167,1.655953233001128,684.5703936963318,16976.0,100,0.9,10000
168,168,1.6655004080002982,684.5703936963318,17077.0,100,0.9,10000
169,169,1.6750083099996118,684.5703936963318,17178.0,100,0.9,10000
170,170,1.68448830700072,684.5703936963318,17279.0,100,0.9,10000
171,171,1.6940136220000568,684.5703936963318,17380.0,100,0.9,10000
172,172,1.7035756269997364,684.5703936963318,17481.0,100,0.9,10000
173,173,1.7131162999994558,684.5703936963318,17582.0,100,0.9,10000
174,174,1.7226817509999819,684.5703936963318,17683.0,100,0.9,10000
175,175,1.7322190570012026,684.5703936963318,17784.0,100,0.9,10000
176,176,1.741804545999912,684.5703936963318,17885.0,100,0.9,10000
177,177,1.7513906770000176,684.5703936963318,17986.0,100,0.9,10000
178,178,1.7613196279999102,684.5703936963318,18087.0,100,0.9,10000
179,179,1.7711747989997093,684.5703936963318,18188.0,100,0.9,10000
180,180,1.7811326749997534,684.5703936963318,18289.0,100,0.9,10000
181,181,1.7907219820008322,684.5703936963318,18390.0,100,0.9,10000
182,182,1.8003002069999638,684.5703936963318,18491.0,100,0.9,10000
183,183,1.8098703659998137,684.5703936963318,18592.0,100,0.9,10000
184,184,1.8193983159999334,684.5703936963318,18693.0,100,0.9,10000
185,185,1.8289269560009416,684.5703936963318,18794.0,100,0.9,10000
186,186,1.8383990090005682,684.5703936963318,18895.0,100,0.9,10000
187,187,1.8479497719999927,684.5703936963318,18996.0,100,0.9,10000
188,188,1.8575568819996988,684.5703936963318,19097.0,100,0.9,10000
189,189,1.8671998999998323,684.5703936963318,19198.0,100,0.9,10000
190,190,1.8766738260001148,684.5703936963318,19299.0,100,0.9,10000
191,191,1.8861806759996398,684.5703936963318,19400.0,100,0.9,10000
192,192,1.8956639410007483,684.5703936963318,19501.0,100,0.9,10000
193,193,1.9052468539994152,684.5703936963318,19602.0,100,0.9,10000
194,194,1.914859394000814,684.5703936963318,19703.0,100,0.9,10000
195,195,1.92442808099986,684.5703936963318,19804.0,100,0.9,10000
196,196,1.9340431159998843,684.5703936963318,19905.0,100,0.9,10000
