,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.001497125000014421,1400.9252885718133,100.0,True,100,0.9,500
1,1,0.022113375000003543,1041.5478323382674,202.0,True,100,0.9,500
2,2,0.040987499999999955,950.4831269179138,304.0,True,100,0.9,500
3,3,0.05957787500000222,950.4831269179138,405.0,True,100,0.9,500
4,4,0.07812033300001531,855.8501332943707,507.0,True,100,0.9,500
5,5,0.09650558300000966,855.8501332943707,608.0,True,100,0.9,500
6,6,0.11507641599999374,855.8501332943707,709.0,True,100,0.9,500
7,7,0.1337712910000164,855.8501332943707,810.0,True,100,0.9,500
8,8,0.15231283299999632,855.8501332943707,911.0,True,100,0.9,500
9,9,0.17090029100000947,855.8501332943707,1012.0,True,100,0.9,500
10,10,0.1895021250000184,855.8501332943707,1113.0,True,100,0.9,500
11,11,0.20876383300000612,855.8501332943707,1214.0,True,100,0.9,500
12,12,0.22765816599999766,855.4119766845241,1316.0,True,100,0.9,500
13,13,0.24629383300000995,802.9493764839677,1418.0,True,100,0.9,500
14,14,0.264470082999992,802.9493764839677,1519.0,True,100,0.9,500
15,15,0.28271404100001973,802.9493764839677,1620.0,True,100,0.9,500
16,16,0.30091891600000054,802.9493764839677,1721.0,True,100,0.9,500
17,17,0.3191936249999969,802.9493764839677,1822.0,True,100,0.9,500
18,18,0.3373709159999976,802.9493764839677,1923.0,True,100,0.9,500
19,19,0.3559072909999941,802.9493764839677,2024.0,True,100,0.9,500
20,20,0.3741803329999982,802.9493764839677,2125.0,True,100,0.9,500
21,21,0.3921699160000003,802.9493764839677,2226.0,True,100,0.9,500
22,22,0.4100614160000191,802.9493764839677,2327.0,True,100,0.9,500
23,23,0.4280467910000141,802.9493764839677,2428.0,True,100,0.9,500
24,24,0.4462790830000074,802.9493764839677,2529.0,True,100,0.9,500
25,25,0.4642680000000041,802.9493764839677,2630.0,True,100,0.9,500
26,26,0.48198208300001966,802.9493764839677,2731.0,True,100,0.9,500
27,27,0.4995394580000152,802.9493764839677,2832.0,True,100,0.9,500
28,28,0.5172434160000137,802.9493764839677,2933.0,True,100,0.9,500
29,29,0.5350545000000011,802.9493764839677,3034.0,True,100,0.9,500
30,30,0.5529137910000088,802.9493764839677,3135.0,True,100,0.9,500
31,31,0.5706300410000154,802.9493764839677,3236.0,True,100,0.9,500
32,32,0.5884505829999966,802.9493764839677,3337.0,True,100,0.9,500
33,33,0.6063912909999942,802.9493764839677,3438.0,True,100,0.9,500
34,34,0.6242874579999977,802.9493764839677,3539.0,True,100,0.9,500
35,35,0.6421618330000172,802.9493764839677,3640.0,True,100,0.9,500
36,36,0.6599549160000038,802.9493764839677,3741.0,True,100,0.9,500
37,37,0.6776677910000046,802.9493764839677,3842.0,True,100,0.9,500
38,38,0.6955002500000091,802.9493764839677,3943.0,True,100,0.9,500
39,39,0.7131690410000147,802.9493764839677,4044.0,True,100,0.9,500
40,40,0.7308675000000164,802.9493764839677,4145.0,True,100,0.9,500
41,41,0.7487423750000062,802.9493764839677,4246.0,True,100,0.9,500
42,42,0.7665504160000012,802.9493764839677,4347.0,True,100,0.9,500
43,43,0.784380791000018,802.9493764839677,4448.0,True,100,0.9,500
44,44,0.8025976250000042,802.9493764839677,4549.0,True,100,0.9,500
45,45,0.820806833000006,802.9493764839677,4650.0,True,100,0.9,500
46,46,0.8386622910000199,802.9493764839677,4751.0,True,100,0.9,500
47,47,0.8564237500000047,802.9493764839677,4852.0,True,100,0.9,500
48,48,0.8749734160000173,802.9493764839677,4953.0,True,100,0.9,500
49,49,0.8936513750000188,802.9493764839677,5054.0,True,100,0.9,500
50,50,0.9125865830000066,802.9493764839677,5155.0,True,100,0.9,500
51,51,0.9306486659999962,802.9493764839677,5256.0,True,100,0.9,500
52,52,0.9483754999999974,802.9493764839677,5357.0,True,100,0.9,500
53,53,0.9663425829999994,802.9493764839677,5458.0,True,100,0.9,500
54,54,0.9843880410000168,802.9493764839677,5559.0,True,100,0.9,500
55,55,1.0022405830000025,802.9493764839677,5660.0,True,100,0.9,500
56,56,1.0203260830000147,802.9493764839677,5761.0,True,100,0.9,500
57,57,1.0380499580000162,802.9493764839677,5862.0,True,100,0.9,500
58,58,1.0561046250000174,802.9493764839677,5963.0,True,100,0.9,500
59,59,1.0738735410000118,802.9493764839677,6064.0,True,100,0.9,500
60,60,1.0917019160000052,802.9493764839677,6165.0,True,100,0.9,500
61,61,1.1099047910000195,802.9493764839677,6266.0,True,100,0.9,500
